index,checking_status,months_duration,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,target
496,0 ≤ ... < 200 DM,36,existing credits paid duly till now,furniture/equipment,9034,100 ≤ ... < 500 DM,< 1 year,4,male: single,co-applicant,1,unknown / none,29,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
497,no checking account,24,critical account / other credits elsewhere,furniture/equipment,1585,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,3,building-soc savings / life insurance,40,none,own,2,skilled employee/official,1,none,yes,0
498,0 ≤ ... < 200 DM,18,existing credits paid duly till now,radio/television,1301,< 100 DM,≥ 7 years,4,male: married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,0
499,≥ 200 DM / salary assignment ≥ 1y,6,critical account / other credits elsewhere,car (new),1323,100 ≤ ... < 500 DM,≥ 7 years,2,male: divorced/separated,none,4,car or other (not in savings),28,none,own,2,skilled employee/official,2,"yes, registered",yes,0
500,< 0 DM,24,existing credits paid duly till now,car (new),3123,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1,building-soc savings / life insurance,27,none,own,1,skilled employee/official,1,none,yes,1
501,< 0 DM,36,existing credits paid duly till now,car (used),5493,< 100 DM,≥ 7 years,2,male: single,none,4,unknown / none,42,none,for free,1,skilled employee/official,2,none,yes,0
502,≥ 200 DM / salary assignment ≥ 1y,9,existing credits paid duly till now,radio/television,1126,100 ≤ ... < 500 DM,≥ 7 years,2,male: divorced/separated,none,4,real estate,49,none,own,1,skilled employee/official,1,none,yes,0
503,0 ≤ ... < 200 DM,24,critical account / other credits elsewhere,radio/television,1216,100 ≤ ... < 500 DM,< 1 year,4,male: single,none,4,unknown / none,38,bank,own,2,skilled employee/official,2,none,yes,1
504,< 0 DM,24,existing credits paid duly till now,car (new),1207,< 100 DM,< 1 year,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,24,none,rent,1,skilled employee/official,1,none,yes,1
505,no checking account,10,existing credits paid duly till now,car (new),1309,unknown / none,1 ≤ ... < 4 years,4,male: single,guarantor,4,building-soc savings / life insurance,27,none,own,1,unskilled - resident,1,none,yes,1
506,≥ 200 DM / salary assignment ≥ 1y,15,critical account / other credits elsewhere,car (used),2360,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),36,none,own,1,skilled employee/official,1,"yes, registered",yes,0
507,0 ≤ ... < 200 DM,15,all credits at this bank paid duly,car (new),6850,100 ≤ ... < 500 DM,unemployed,1,male: single,none,2,building-soc savings / life insurance,34,none,own,1,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,1
508,no checking account,24,existing credits paid duly till now,radio/television,1413,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,2,building-soc savings / life insurance,28,none,own,1,skilled employee/official,1,none,yes,0
509,no checking account,39,existing credits paid duly till now,car (used),8588,100 ≤ ... < 500 DM,≥ 7 years,4,male: single,none,2,car or other (not in savings),45,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
510,< 0 DM,12,existing credits paid duly till now,car (new),759,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes,1
511,no checking account,36,existing credits paid duly till now,car (used),4686,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,unknown / none,32,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
512,≥ 200 DM / salary assignment ≥ 1y,15,existing credits paid duly till now,business,2687,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,4,building-soc savings / life insurance,26,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
513,0 ≤ ... < 200 DM,12,delay in past,radio/television,585,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee/official,1,none,yes,0
514,no checking account,24,existing credits paid duly till now,car (new),2255,unknown / none,< 1 year,4,male: single,none,1,building-soc savings / life insurance,54,none,own,1,skilled employee/official,1,none,yes,0
515,< 0 DM,6,critical account / other credits elsewhere,car (new),609,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,3,building-soc savings / life insurance,37,none,own,2,skilled employee/official,1,none,no,0
516,< 0 DM,6,critical account / other credits elsewhere,car (new),1361,< 100 DM,< 1 year,2,male: single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,0
517,no checking account,36,critical account / other credits elsewhere,furniture/equipment,7127,< 100 DM,< 1 year,2,female: divorced/separated/married,none,4,building-soc savings / life insurance,23,none,rent,2,skilled employee/official,1,"yes, registered",yes,1
518,< 0 DM,6,existing credits paid duly till now,car (new),1203,100 ≤ ... < 500 DM,≥ 7 years,3,male: single,none,2,building-soc savings / life insurance,43,none,own,1,skilled employee/official,1,"yes, registered",yes,0
519,no checking account,6,critical account / other credits elsewhere,radio/television,700,unknown / none,≥ 7 years,4,male: single,none,4,unknown / none,36,none,for free,2,skilled employee/official,1,none,yes,0
520,no checking account,24,critical account / other credits elsewhere,repairs,5507,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,44,none,for free,2,skilled employee/official,1,none,yes,0
521,< 0 DM,18,existing credits paid duly till now,radio/television,3190,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
522,< 0 DM,48,no credits / all paid duly,furniture/equipment,7119,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,4,unknown / none,53,none,for free,2,skilled employee/official,2,none,yes,1
523,no checking account,24,existing credits paid duly till now,car (used),3488,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,3,female: divorced/separated/married,none,4,car or other (not in savings),23,none,own,1,skilled employee/official,1,none,yes,0
524,0 ≤ ... < 200 DM,18,existing credits paid duly till now,radio/television,1113,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,0
525,0 ≤ ... < 200 DM,26,existing credits paid duly till now,car (used),7966,< 100 DM,< 1 year,2,male: single,none,3,car or other (not in savings),30,none,own,2,skilled employee/official,1,none,yes,0
526,no checking account,15,critical account / other credits elsewhere,education,1532,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,3,car or other (not in savings),31,none,own,1,skilled employee/official,1,none,yes,0
527,no checking account,4,critical account / other credits elsewhere,radio/television,1503,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,0
528,< 0 DM,36,existing credits paid duly till now,radio/television,2302,< 100 DM,1 ≤ ... < 4 years,4,male: divorced/separated,none,4,car or other (not in savings),31,none,rent,1,skilled employee/official,1,none,yes,1
529,< 0 DM,6,existing credits paid duly till now,car (new),662,< 100 DM,< 1 year,3,male: single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered",yes,0
530,0 ≤ ... < 200 DM,36,existing credits paid duly till now,education,2273,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,1,car or other (not in savings),32,none,own,2,skilled employee/official,2,none,yes,0
531,0 ≤ ... < 200 DM,15,existing credits paid duly till now,car (new),2631,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,4,car or other (not in savings),28,none,rent,2,skilled employee/official,1,"yes, registered",yes,1
532,no checking account,12,delay in past,car (used),1503,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,none,yes,0
533,no checking account,24,existing credits paid duly till now,radio/television,1311,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,4,male: married/widowed,none,3,building-soc savings / life insurance,26,none,own,1,skilled employee/official,1,"yes, registered",yes,0
534,no checking account,24,existing credits paid duly till now,radio/television,3105,unknown / none,< 1 year,4,male: single,none,2,car or other (not in savings),25,none,own,2,skilled employee/official,1,none,yes,0
535,≥ 200 DM / salary assignment ≥ 1y,21,critical account / other credits elsewhere,education,2319,< 100 DM,< 1 year,2,male: divorced/separated,none,1,car or other (not in savings),33,none,rent,1,skilled employee/official,1,none,yes,1
536,< 0 DM,6,existing credits paid duly till now,car (new),1374,unknown / none,unemployed,4,female: divorced/separated/married,none,3,building-soc savings / life insurance,75,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
537,0 ≤ ... < 200 DM,18,critical account / other credits elsewhere,furniture/equipment,3612,< 100 DM,≥ 7 years,3,female: divorced/separated/married,none,4,building-soc savings / life insurance,37,none,own,1,skilled employee/official,1,"yes, registered",yes,0
538,< 0 DM,48,existing credits paid duly till now,car (new),7763,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,42,bank,for free,1,management/self-employed/highly-qualified/officer,1,none,yes,1
539,≥ 200 DM / salary assignment ≥ 1y,18,existing credits paid duly till now,furniture/equipment,3049,< 100 DM,< 1 year,1,female: divorced/separated/married,none,1,building-soc savings / life insurance,45,stores,own,1,unskilled - resident,1,none,yes,0
540,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,1534,< 100 DM,< 1 year,1,male: married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,none,yes,1
541,no checking account,24,delay in past,car (new),2032,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,60,none,for free,2,skilled employee/official,1,"yes, registered",yes,0
542,< 0 DM,30,existing credits paid duly till now,furniture/equipment,6350,unknown / none,≥ 7 years,4,male: single,none,4,building-soc savings / life insurance,31,none,own,1,skilled employee/official,1,none,yes,1
543,≥ 200 DM / salary assignment ≥ 1y,18,existing credits paid duly till now,furniture/equipment,2864,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,1
544,no checking account,12,critical account / other credits elsewhere,car (new),1255,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,0
545,< 0 DM,24,delay in past,car (new),1333,< 100 DM,unemployed,4,male: single,none,2,real estate,43,none,for free,2,skilled employee/official,2,none,yes,1
546,no checking account,24,critical account / other credits elsewhere,car (new),2022,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,car or other (not in savings),37,none,own,1,skilled employee/official,1,"yes, registered",yes,0
547,no checking account,24,existing credits paid duly till now,radio/television,1552,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,1,car or other (not in savings),32,bank,own,1,skilled employee/official,2,none,yes,0
548,< 0 DM,12,all credits at this bank paid duly,radio/television,626,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,1
549,no checking account,48,critical account / other credits elsewhere,car (used),8858,unknown / none,4 ≤ ... < 7 years,2,male: single,none,1,unknown / none,35,none,for free,2,skilled employee/official,1,"yes, registered",yes,0
550,no checking account,12,critical account / other credits elsewhere,repairs,996,unknown / none,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,0
551,no checking account,6,all credits at this bank paid duly,radio/television,1750,500 ≤ ... < 1000 DM,≥ 7 years,2,male: single,none,4,building-soc savings / life insurance,45,bank,own,1,unskilled - resident,2,none,yes,0
552,< 0 DM,48,existing credits paid duly till now,radio/television,6999,< 100 DM,4 ≤ ... < 7 years,1,male: married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,"yes, registered",yes,1
553,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,car (new),1995,100 ≤ ... < 500 DM,< 1 year,4,male: single,none,1,car or other (not in savings),27,none,own,1,skilled employee/official,1,none,yes,0
554,0 ≤ ... < 200 DM,9,existing credits paid duly till now,education,1199,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,67,none,own,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
555,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,1331,< 100 DM,< 1 year,2,male: single,none,1,car or other (not in savings),22,stores,own,1,skilled employee/official,1,none,yes,1
556,0 ≤ ... < 200 DM,18,no credits / all paid duly,car (new),2278,100 ≤ ... < 500 DM,< 1 year,3,female: divorced/separated/married,none,3,car or other (not in savings),28,none,own,2,skilled employee/official,1,none,yes,1
557,no checking account,21,no credits / all paid duly,car (new),5003,unknown / none,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,4,building-soc savings / life insurance,29,bank,own,2,skilled employee/official,1,"yes, registered",yes,1
558,< 0 DM,24,all credits at this bank paid duly,furniture/equipment,3552,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,4,car or other (not in savings),27,bank,own,1,skilled employee/official,1,none,yes,1
559,0 ≤ ... < 200 DM,18,critical account / other credits elsewhere,furniture/equipment,1928,< 100 DM,< 1 year,2,male: single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,1
560,< 0 DM,24,existing credits paid duly till now,car (used),2964,unknown / none,≥ 7 years,4,male: single,none,4,unknown / none,49,bank,for free,1,skilled employee/official,2,"yes, registered",yes,0
561,< 0 DM,24,all credits at this bank paid duly,radio/television,1546,< 100 DM,4 ≤ ... < 7 years,4,male: single,guarantor,4,car or other (not in savings),24,bank,rent,1,unskilled - resident,1,none,yes,1
562,≥ 200 DM / salary assignment ≥ 1y,6,delay in past,radio/television,683,< 100 DM,< 1 year,2,female: divorced/separated/married,none,1,building-soc savings / life insurance,29,bank,own,1,skilled employee/official,1,none,yes,0
563,0 ≤ ... < 200 DM,36,existing credits paid duly till now,car (new),12389,unknown / none,1 ≤ ... < 4 years,1,male: single,none,4,unknown / none,37,none,for free,1,skilled employee/official,1,"yes, registered",yes,1
564,0 ≤ ... < 200 DM,24,delay in past,business,4712,unknown / none,1 ≤ ... < 4 years,4,male: single,none,2,building-soc savings / life insurance,37,bank,own,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
565,0 ≤ ... < 200 DM,24,delay in past,radio/television,1553,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,3,female: divorced/separated/married,none,2,building-soc savings / life insurance,23,none,rent,2,skilled employee/official,1,"yes, registered",yes,0
566,< 0 DM,12,existing credits paid duly till now,car (new),1372,< 100 DM,4 ≤ ... < 7 years,2,male: divorced/separated,none,3,car or other (not in savings),36,none,own,1,skilled employee/official,1,none,yes,1
567,no checking account,24,critical account / other credits elsewhere,radio/television,2578,≥ 1000 DM,≥ 7 years,2,male: single,none,2,car or other (not in savings),34,none,own,1,skilled employee/official,1,none,yes,0
568,0 ≤ ... < 200 DM,48,existing credits paid duly till now,radio/television,3979,unknown / none,4 ≤ ... < 7 years,4,male: single,none,1,car or other (not in savings),41,none,own,2,skilled employee/official,2,"yes, registered",yes,0
569,< 0 DM,48,existing credits paid duly till now,radio/television,6758,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,2,car or other (not in savings),31,none,own,1,skilled employee/official,1,"yes, registered",yes,1
570,< 0 DM,24,existing credits paid duly till now,furniture/equipment,3234,< 100 DM,< 1 year,4,female: divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered",yes,1
571,no checking account,30,critical account / other credits elsewhere,radio/television,5954,< 100 DM,4 ≤ ... < 7 years,3,male: single,co-applicant,2,car or other (not in savings),38,none,own,1,skilled employee/official,1,none,yes,0
572,no checking account,24,existing credits paid duly till now,car (used),5433,unknown / none,unemployed,2,female: divorced/separated/married,none,4,building-soc savings / life insurance,26,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
573,< 0 DM,15,existing credits paid duly till now,business,806,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,22,none,own,1,unskilled - resident,1,none,yes,0
574,0 ≤ ... < 200 DM,9,existing credits paid duly till now,radio/television,1082,< 100 DM,≥ 7 years,4,male: single,none,4,car or other (not in savings),27,none,own,2,unskilled - resident,1,none,yes,0
575,no checking account,15,critical account / other credits elsewhere,furniture/equipment,2788,< 100 DM,4 ≤ ... < 7 years,2,female: divorced/separated/married,co-applicant,3,car or other (not in savings),24,bank,own,2,skilled employee/official,1,none,yes,0
576,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,2930,< 100 DM,4 ≤ ... < 7 years,2,female: divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes,0
577,no checking account,24,critical account / other credits elsewhere,education,1927,unknown / none,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,2,car or other (not in savings),33,none,own,2,skilled employee/official,1,"yes, registered",yes,0
578,0 ≤ ... < 200 DM,36,critical account / other credits elsewhere,car (new),2820,< 100 DM,< 1 year,4,male: divorced/separated,none,4,car or other (not in savings),27,none,own,2,skilled employee/official,1,none,yes,1
579,no checking account,24,existing credits paid duly till now,retraining,937,< 100 DM,< 1 year,4,male: married/widowed,none,3,car or other (not in savings),27,none,own,2,unskilled - resident,1,none,yes,0
580,0 ≤ ... < 200 DM,18,critical account / other credits elsewhere,car (new),1056,< 100 DM,≥ 7 years,3,male: single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,none,yes,1
581,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,car (new),3124,< 100 DM,< 1 year,1,male: single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,0
582,no checking account,9,existing credits paid duly till now,furniture/equipment,1388,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,none,yes,0
583,0 ≤ ... < 200 DM,36,existing credits paid duly till now,repairs,2384,< 100 DM,< 1 year,4,male: single,none,1,unknown / none,33,none,rent,1,unskilled - resident,1,none,yes,1
584,no checking account,12,existing credits paid duly till now,car (new),2133,unknown / none,≥ 7 years,4,female: divorced/separated/married,none,4,unknown / none,52,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
585,< 0 DM,18,existing credits paid duly till now,furniture/equipment,2039,< 100 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,none,yes,1
586,< 0 DM,9,critical account / other credits elsewhere,car (new),2799,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes,0
587,< 0 DM,12,existing credits paid duly till now,furniture/equipment,1289,< 100 DM,1 ≤ ... < 4 years,4,male: single,guarantor,1,building-soc savings / life insurance,21,none,own,1,unskilled - resident,1,none,yes,0
588,< 0 DM,18,existing credits paid duly till now,domestic appliances,1217,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered",yes,1
589,< 0 DM,12,critical account / other credits elsewhere,furniture/equipment,2246,< 100 DM,≥ 7 years,3,male: single,none,3,building-soc savings / life insurance,60,none,own,2,skilled employee/official,1,none,yes,1
590,< 0 DM,12,critical account / other credits elsewhere,radio/television,385,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered",yes,0
591,0 ≤ ... < 200 DM,24,delay in past,car (new),1965,unknown / none,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,car or other (not in savings),42,none,rent,2,skilled employee/official,1,"yes, registered",yes,0
592,no checking account,21,existing credits paid duly till now,business,1572,≥ 1000 DM,≥ 7 years,4,female: divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,0
593,0 ≤ ... < 200 DM,24,existing credits paid duly till now,car (new),2718,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,4,building-soc savings / life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered",yes,1
594,< 0 DM,24,all credits at this bank paid duly,others,1358,unknown / none,≥ 7 years,4,male: single,none,3,car or other (not in savings),40,stores,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
595,0 ≤ ... < 200 DM,6,all credits at this bank paid duly,car (new),931,100 ≤ ... < 500 DM,< 1 year,1,female: divorced/separated/married,none,1,building-soc savings / life insurance,32,stores,own,1,unskilled - resident,1,none,yes,1
596,< 0 DM,24,existing credits paid duly till now,car (new),1442,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,4,car or other (not in savings),23,none,rent,2,skilled employee/official,1,none,yes,1
597,0 ≤ ... < 200 DM,24,no credits / all paid duly,business,4241,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered",yes,1
598,no checking account,18,critical account / other credits elsewhere,car (new),2775,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,2,building-soc savings / life insurance,31,bank,own,2,skilled employee/official,1,none,yes,1
599,no checking account,24,delay in past,business,3863,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,2,unknown / none,32,none,for free,1,skilled employee/official,1,none,yes,0
600,0 ≤ ... < 200 DM,7,existing credits paid duly till now,radio/television,2329,< 100 DM,< 1 year,1,female: divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,0
601,0 ≤ ... < 200 DM,9,existing credits paid duly till now,furniture/equipment,918,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,1,building-soc savings / life insurance,30,none,own,1,skilled employee/official,1,none,yes,1
602,0 ≤ ... < 200 DM,24,all credits at this bank paid duly,education,1837,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,4,unknown / none,34,bank,for free,1,unskilled - resident,1,none,yes,1
603,no checking account,36,existing credits paid duly till now,furniture/equipment,3349,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,car or other (not in savings),28,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
604,≥ 200 DM / salary assignment ≥ 1y,10,existing credits paid duly till now,furniture/equipment,1275,< 100 DM,< 1 year,4,female: divorced/separated/married,none,2,building-soc savings / life insurance,23,none,own,1,skilled employee/official,1,none,yes,0
605,< 0 DM,24,all credits at this bank paid duly,furniture/equipment,2828,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,4,male: single,none,4,real estate,22,stores,own,1,skilled employee/official,1,"yes, registered",yes,0
606,no checking account,24,critical account / other credits elsewhere,business,4526,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,2,real estate,74,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
607,0 ≤ ... < 200 DM,36,existing credits paid duly till now,radio/television,2671,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,co-applicant,4,unknown / none,50,none,for free,1,skilled employee/official,1,none,yes,1
608,no checking account,18,existing credits paid duly till now,radio/television,2051,< 100 DM,< 1 year,4,male: single,none,1,real estate,33,none,own,1,skilled employee/official,1,none,yes,0
609,no checking account,15,existing credits paid duly till now,car (used),1300,unknown / none,≥ 7 years,4,male: single,none,4,unknown / none,45,bank,for free,1,skilled employee/official,2,none,yes,0
610,< 0 DM,12,existing credits paid duly till now,domestic appliances,741,100 ≤ ... < 500 DM,unemployed,4,female: divorced/separated/married,none,3,building-soc savings / life insurance,22,none,own,1,skilled employee/official,1,none,yes,1
611,≥ 200 DM / salary assignment ≥ 1y,10,existing credits paid duly till now,car (new),1240,100 ≤ ... < 500 DM,≥ 7 years,1,female: divorced/separated/married,none,4,unknown / none,48,none,for free,1,unskilled - resident,2,none,yes,1
612,< 0 DM,21,existing credits paid duly till now,radio/television,3357,≥ 1000 DM,< 1 year,4,female: divorced/separated/married,none,2,car or other (not in savings),29,bank,own,1,skilled employee/official,1,none,yes,0
613,< 0 DM,24,all credits at this bank paid duly,car (used),3632,< 100 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,guarantor,4,car or other (not in savings),22,bank,rent,1,skilled employee/official,1,none,no,0
614,no checking account,18,delay in past,furniture/equipment,1808,< 100 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,1
615,0 ≤ ... < 200 DM,48,no credits / all paid duly,business,12204,unknown / none,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),48,bank,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
616,0 ≤ ... < 200 DM,60,delay in past,radio/television,9157,unknown / none,1 ≤ ... < 4 years,2,male: single,none,2,unknown / none,27,none,for free,1,management/self-employed/highly-qualified/officer,1,none,yes,0
617,< 0 DM,6,critical account / other credits elsewhere,car (new),3676,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,3,real estate,37,none,rent,3,skilled employee/official,2,none,yes,0
618,0 ≤ ... < 200 DM,30,existing credits paid duly till now,furniture/equipment,3441,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,co-applicant,4,car or other (not in savings),21,none,rent,1,skilled employee/official,1,none,yes,1
619,no checking account,12,existing credits paid duly till now,car (new),640,< 100 DM,1 ≤ ... < 4 years,4,male: divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,0
620,0 ≤ ... < 200 DM,21,critical account / other credits elsewhere,business,3652,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,3,building-soc savings / life insurance,27,none,own,2,skilled employee/official,1,none,yes,0
621,no checking account,18,critical account / other credits elsewhere,car (new),1530,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,2,building-soc savings / life insurance,32,bank,own,2,skilled employee/official,1,none,yes,1
622,no checking account,48,existing credits paid duly till now,business,3914,unknown / none,1 ≤ ... < 4 years,4,male: divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,none,yes,1
623,< 0 DM,12,existing credits paid duly till now,furniture/equipment,1858,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1,car or other (not in savings),22,none,rent,1,skilled employee/official,1,none,yes,0
624,< 0 DM,18,existing credits paid duly till now,radio/television,2600,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,4,unknown / none,65,none,for free,2,skilled employee/official,1,none,yes,1
625,no checking account,15,existing credits paid duly till now,radio/television,1979,unknown / none,≥ 7 years,4,male: single,none,2,car or other (not in savings),35,none,own,1,skilled employee/official,1,none,yes,0
626,≥ 200 DM / salary assignment ≥ 1y,6,existing credits paid duly till now,furniture/equipment,2116,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,real estate,41,none,own,1,skilled employee/official,1,"yes, registered",yes,0
627,0 ≤ ... < 200 DM,9,all credits at this bank paid duly,car (new),1437,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,2,male: single,none,3,unknown / none,29,none,own,1,skilled employee/official,1,none,yes,1
628,no checking account,42,critical account / other credits elsewhere,furniture/equipment,4042,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,4,male: single,none,4,real estate,36,none,own,2,skilled employee/official,1,"yes, registered",yes,0
629,no checking account,9,existing credits paid duly till now,education,3832,unknown / none,≥ 7 years,1,male: single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,0
630,< 0 DM,24,existing credits paid duly till now,radio/television,3660,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,4,car or other (not in savings),28,none,own,1,skilled employee/official,1,none,yes,0
631,< 0 DM,18,all credits at this bank paid duly,furniture/equipment,1553,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,3,car or other (not in savings),44,bank,own,1,skilled employee/official,1,none,yes,1
632,0 ≤ ... < 200 DM,15,existing credits paid duly till now,radio/television,1444,unknown / none,< 1 year,4,male: single,none,1,building-soc savings / life insurance,23,none,own,1,skilled employee/official,1,none,yes,0
